9
Framenumber:     0 Time [yr]:   0.000 Step:          1 Energy:  -0.198E+30
Mars        5 -0.200E+09 -0.128E+09  0.219E+07  0.140E+02 -0.183E+02 -0.728E+00
Jupiter     6 -0.608E+09 -0.536E+09  0.158E+08  0.849E+01 -0.918E+01 -0.152E+00
Saturn      7  0.394E+08 -0.150E+10  0.246E+08  0.912E+01  0.223E+00 -0.367E+00
Uranus      8  0.264E+10  0.138E+10 -0.291E+08 -0.320E+01  0.572E+01  0.624E-01
Neptune     9  0.430E+10 -0.127E+10 -0.729E+08  0.150E+01  0.524E+01 -0.143E+00
9
Framenumber:     6 Time [yr]:   0.190 Step:       6000 Energy:  -0.198E+30
Sun         1  0.222E+06  0.955E+06 -0.168E+05 -0.108E-01  0.803E-02  0.257E-03
Mercury     2  0.541E+08 -0.976E+07 -0.584E+07  0.467E-01  0.500E+02  0.408E+01
Venus       3  0.108E+09 -0.112E+07 -0.629E+07  0.471E+00  0.349E+02  0.452E+00
Earth       4 -0.132E+09  0.670E+08 -0.193E+05 -0.138E+02 -0.267E+02  0.152E-02
Mars        5 -0.185E+09 -0.146E+09  0.145E+07  0.159E+02 -0.169E+02 -0.746E+00
Jupiter     6 -0.600E+09 -0.545E+09  0.157E+08  0.864E+01 -0.905E+01 -0.156E+00
Saturn      7  0.485E+08 -0.150E+10  0.242E+08  0.912E+01  0.281E+00 -0.368E+00
Uranus      8  0.264E+10  0.138E+10 -0.290E+08 -0.321E+01  0.571E+01  0.625E-01
Neptune     9  0.430E+10 -0.126E+10 -0.731E+08  0.150E+01  0.525E+01 -0.143E+00
9
Framenumber:     7 Time [yr]:   0.222 Step:       7000 Energy:  -0.198E+30
Sun         1  0.211E+06  0.963E+06 -0.166E+05 -0.109E-01  0.789E-02  0.259E-03
Mercury     2  0.306E+08  0.367E+08  0.112E+06 -0.468E+02  0.336E+02  0.703E+01
Venus       3  0.103E+09  0.333E+08 -0.552E+07 -0.107E+02  0.333E+02  0.107E+01
Earth       4 -0.143E+09  0.391E+08 -0.177E+05 -0.815E+01 -0.289E+02  0.160E-02
Mars        5 -0.168E+09 -0.162E+09  0.699E+06  0.178E+02 -0.153E+02 -0.757E+00
Jupiter     6 -0.591E+09 -0.554E+09  0.155E+08  0.878E+01 -0.891E+01 -0.159E+00
Saturn      7  0.576E+08 -0.150E+10  0.238E+08  0.912E+01  0.340E+00 -0.369E+00
Uranus      8  0.263E+10  0.139E+10 -0.290E+08 -0.322E+01  0.571E+01  0.627E-01
Neptune     9  0.430E+10 -0.126E+10 -0.732E+08  0.149E+01  0.525E+01 -0.143E+00
9
Framenumber:     8 Time [yr]:   0.254 Step:       8000 Energy:  -0.198E+30
Sun         1  0.200E+06  0.971E+06 -0.163E+05 -0.110E-01  0.777E-02  0.262E-03
Mercury     2 -0.246E+08  0.420E+08  0.561E+07 -0.515E+02 -0.233E+02  0.283E+01
Venus       3  0.874E+08  0.644E+08 -0.418E+07 -0.208E+02  0.282E+02  0.159E+01
Earth       4 -0.148E+09  0.964E+07 -0.161E+05 -0.224E+01 -0.298E+02  0.163E-02
Mars        5 -0.149E+09 -0.176E+09 -0.606E+05  0.194E+02 -0.135E+02 -0.760E+00
Jupiter     6 -0.582E+09 -0.563E+09  0.153E+08  0.893E+01 -0.877E+01 -0.163E+00
Saturn      7  0.667E+08 -0.150E+10  0.235E+08  0.912E+01  0.399E+00 -0.370E+00
Uranus      8  0.263E+10  0.139E+10 -0.289E+08 -0.324E+01  0.570E+01  0.628E-01
Neptune     9  0.430E+10 -0.125E+10 -0.734E+08  0.148E+01  0.525E+01 -0.143E+00
9
Framenumber:     9 Time [yr]:   0.285 Step:       9000 Energy:  -0.198E+30
Sun         1  0.189E+06  0.978E+06 -0.161E+05 -0.111E-01  0.764E-02  0.266E-03
Mercury     2 -0.571E+08  0.311E+07  0.541E+07 -0.120E+02 -0.466E+02 -0.271E+01
Venus       3  0.624E+08  0.888E+08 -0.240E+07 -0.288E+02  0.202E+02  0.194E+01
Earth       4 -0.148E+09 -0.202E+08 -0.145E+05  0.371E+01 -0.296E+02  0.160E-02
Mars        5 -0.129E+09 -0.189E+09 -0.819E+06  0.209E+02 -0.116E+02 -0.756E+00
Jupiter     6 -0.573E+09 -0.572E+09  0.152E+08  0.907E+01 -0.863E+01 -0.167E+00
Saturn      7  0.759E+08 -0.150E+10  0.231E+08  0.911E+01  0.457E+00 -0.371E+00
Uranus      8  0.263E+10  0.140E+10 -0.288E+08 -0.325E+01  0.569E+01  0.630E-01
Neptune     9  0.430E+10 -0.124E+10 -0.735E+08  0.148E+01  0.525E+01 -0.143E+00
9
Framenumber:    10 Time [yr]:   0.317 Step:      10000 Energy:  -0.198E+30
Sun         1  0.178E+06  0.986E+06 -0.158E+05 -0.113E-01  0.750E-02  0.270E-03
Mercury     2 -0.516E+08 -0.399E+08  0.140E+07  0.202E+02 -0.361E+02 -0.480E+01
